IIT (BHU) Varanasi,Architecture,5,252
IIT (BHU) Varanasi,Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology,5,5746
IIT (BHU) Varanasi,Bioengineering with M.Tech in Biomedical Technology,5,5507
IIT (BHU) Varanasi,Ceramic Engineering,4,7171
IIT (BHU) Varanasi,Ceramic Engineering,5,5268
IIT (BHU) Varanasi,Chemical Engineering,4,12691
IIT (BHU) Varanasi,Civil Engineering,4,12158
IIT (BHU) Varanasi,Civil Engineering,5,7207
IIT (BHU) Varanasi,Computer Science and Engineering,4,21199
IIT (BHU) Varanasi,Computer Science and Engineering,5,13135
IIT (BHU) Varanasi,Electrical Engineering,4,17031
IIT (BHU) Varanasi,Electrical Engineering with M.Tech. in Power Electronics,5,9281
IIT (BHU) Varanasi,Electronics Engineering,4,15103
IIT (BHU) Varanasi,Engineering Physics,5,6500
IIT (BHU) Varanasi,Industrial Chemistry,5,5292
IIT (BHU) Varanasi,Materials Science and Technology,5,6125
IIT (BHU) Varanasi,Mathematics and Computing,5,10986
IIT (BHU) Varanasi,Mechanical Engineering,4,15603
IIT (BHU) Varanasi,Mechanical Engineering,5,8486
IIT (BHU) Varanasi,Metallurgical Engineering,4,9343
IIT (BHU) Varanasi,Metallurgical Engineering,5,6330
IIT (BHU) Varanasi,Mining Engineering,4,7697
IIT (BHU) Varanasi,Mining Engineering,5,5620
IIT (BHU) Varanasi,Pharmaceutical Engineering & Technology,4,6393
IIT (BHU) Varanasi,Pharmaceutical Engineering & Technology,5,5077
IIT (ISM) Dhanbad,Applied Geology,5,4917
IIT (ISM) Dhanbad,Applied Geophysics,5,4980
IIT (ISM) Dhanbad,Chemical Engineering,4,10288
IIT (ISM) Dhanbad,Civil Engineering,4,10337
IIT (ISM) Dhanbad,Computer Science and Engineering,4,17390
IIT (ISM) Dhanbad,Electrical Engineering,4,13959
IIT (ISM) Dhanbad,Electronics and Communication Engineering,4,15035
IIT (ISM) Dhanbad,Engineering Physics,4,7443
IIT (ISM) Dhanbad,Environmental Engineering,4,6491
IIT (ISM) Dhanbad,Mathematics and Computing,4,12182
IIT (ISM) Dhanbad,Mechanical Engineering,4,12710
IIT (ISM) Dhanbad,Mineral and Metallurgical Engineering,4,7651
IIT (ISM) Dhanbad,Mining Engineering,4,7668
IIT (ISM) Dhanbad,Mining Machinery Engineering,4,7167
IIT (ISM) Dhanbad,Petroleum Engineering,4,8056
IIT Bhilai,Computer Science and Engineering,4,12925
IIT Bhilai,Data Science and Artificial Intelligence,4,10637
IIT Bhilai,Electrical Engineering,4,10141
IIT Bhilai,Electronics and Communication Engineering,4,10285
IIT Bhilai,Materials Science and Metallurgical Engineering,4,6346
IIT Bhilai,Mechanical Engineering,4,9654
IIT Bhilai,Mechatronics Engineering,4,7103
IIT Bhubaneswar,Civil Engineering,4,10314
IIT Bhubaneswar,Computer Science and Engineering,4,17105
IIT Bhubaneswar,Electrical Engineering,4,13791
IIT Bhubaneswar,Electronics and Communication Engineering,4,14788
IIT Bhubaneswar,Engineering Physics,4,6878
IIT Bhubaneswar,Mechanical Engineering,4,12467
IIT Bhubaneswar,Metallurgical and Materials Engineering,4,8029
IIT Bombay,Aerospace Engineering,4,15174
IIT Bombay,BS in Mathematics,4,6954
IIT Bombay,Chemical Engineering,4,15430
IIT Bombay,Chemistry,4,6322
IIT Bombay,Civil Engineering,4,15061
IIT Bombay,Computer Science and Engineering,4,25481
IIT Bombay,Economics,4,7090
IIT Bombay,Electrical Engineering,4,21811
IIT Bombay,Electrical Engineering,5,13600
IIT Bombay,Energy Engineering,4,10588
IIT Bombay,Engineering Physics,4,10513
IIT Bombay,Environmental Science and Engineering,4,9002
IIT Bombay,Industrial Engineering and Operations Research,4,9718
IIT Bombay,Mechanical Engineering,4,19469
IIT Bombay,Metallurgical Engineering and Materials Science,4,11513
IIT Delhi,Biotechnology and Biochemical Engineering,4,9563
IIT Delhi,Chemical Engineering,4,15805
IIT Delhi,Chemical Engineering,5,9219
IIT Delhi,Civil Engineering,4,15122
IIT Delhi,Computer Science and Engineering,4,25064
IIT Delhi,Computer Science and Engineering,5,16188
IIT Delhi,Electrical Engineering,4,21855
IIT Delhi,Electrical Engineering (Power and Automation),4,16226
IIT Delhi,Energy Engineering,4,10723
IIT Delhi,Engineering and Computational Mechanics,4,12598
IIT Delhi,Engineering Physics,4,10969
IIT Delhi,Materials Engineering,4,10064
IIT Delhi,Mathematics and Computing,4,18760
IIT Delhi,Mathematics and Computing,5,13741
IIT Delhi,Mechanical Engineering,4,19035
IIT Delhi,Production and Industrial Engineering,4,10492
IIT Delhi,Textile Technology,4,8868
IIT Dharwad,Chemical and Biochemical Engineering,4,6235
IIT Dharwad,Civil and Infrastructure Engineering,4,7191
IIT Dharwad,Computer Science and Engineering,4,13517
IIT Dharwad,Electrical and Electronics Engineering,4,9998
IIT Dharwad,Electronics and Communication Engineering,4,10897
IIT Dharwad,Engineering Physics,4,6173
IIT Dharwad,Interdisciplinary Sciences,5,4173
IIT Dharwad,Mathematics and Computing,4,9421
IIT Dharwad,Mechanical Engineering,4,10010
IIT Gandhinagar,Artificial Intelligence,4,16223
IIT Gandhinagar,Chemical Engineering,4,10599
IIT Gandhinagar,Civil Engineering,4,10469
IIT Gandhinagar,Computer Science and Engineering,4,18947
IIT Gandhinagar,Computer Science and Engineering,5,11848
IIT Gandhinagar,Electrical Engineering,4,14835
IIT Gandhinagar,Electrical Engineering,5,9031
IIT Gandhinagar,Integrated Circuit Design & Technology,4,8335
IIT Gandhinagar,Materials Engineering,4,7583
IIT Gandhinagar,Mechanical Engineering,4,13553
IIT Gandhinagar,Mechanical Engineering,5,7787
IIT Goa,Computer Science and Engineering,4,13765
IIT Goa,Electrical Engineering,4,10889
IIT Goa,Mathematics and Computing,4,9711
IIT Goa,Mechanical Engineering,4,10120
IIT Guwahati,Biosciences and Bioengineering,4,7644
IIT Guwahati,Chemical Engineering,4,13437
IIT Guwahati,Chemical Science and Technology,4,9603
IIT Guwahati,Civil Engineering,4,13308
IIT Guwahati,Computer Science and Engineering,4,22263
IIT Guwahati,Data Science and Artificial Intelligence,4,18633
IIT Guwahati,Electronics and Communication Engineering,4,20358
IIT Guwahati,Electronics and Electrical Engineering,4,17334
IIT Guwahati,Energy Engineering,4,9238
IIT Guwahati,Engineering Physics,4,9404
IIT Guwahati,Mathematics and Computing,4,16452
IIT Guwahati,Mechanical Engineering,4,16489
IIT Hyderabad,Artificial Intelligence,4,20682
IIT Hyderabad,Biomedical Engineering,4,6967
IIT Hyderabad,Biotechnology and Bioinformatics,4,7935
IIT Hyderabad,Chemical Engineering,4,12955
IIT Hyderabad,Civil Engineering,4,12637
IIT Hyderabad,Computational Engineering,4,12787
IIT Hyderabad,Computer Science and Engineering,4,23349
IIT Hyderabad,Electrical Engineering,4,19036
IIT Hyderabad,Electrical Engineering (IC Design and Technology),4,14725
IIT Hyderabad,Engineering Physics,4,9014
IIT Hyderabad,Engineering Science,4,8245
IIT Hyderabad,Industrial Chemistry,4,7128
IIT Hyderabad,Materials Science and Metallurgical Engineering,4,9189
IIT Hyderabad,Mathematics and Computing,4,16984
IIT Hyderabad,Mechanical Engineering,4,16829
IIT Indore,Chemical Engineering,4,11885
IIT Indore,Civil Engineering,4,11839
IIT Indore,Computer Science and Engineering,4,20763
IIT Indore,Electrical Engineering,4,16827
IIT Indore,Engineering Physics,4,8256
IIT Indore,Mathematics and Computing,4,14659
IIT Indore,Mechanical Engineering,4,15001
IIT Indore,Metallurgical Engineering and Materials Science,4,8995
IIT Indore,Space Sciences and Engineering,4,9664
IIT Jammu,Chemical Engineering,4,6876
IIT Jammu,Civil Engineering,4,7048
IIT Jammu,Computer Science and Engineering,4,10012
IIT Jammu,Electrical Engineering,4,8177
IIT Jammu,Materials Engineering,4,5476
IIT Jammu,Mathematics and Computing,4,7323
IIT Jammu,Mechanical Engineering,4,7694
IIT Jodhpur,Artificial Intelligence and Data Science,4,14233
IIT Jodhpur,Bio Engineering,4,6319
